Wavelength	c:/Users/Public/Halo/Exports/OtherFormats/Hynek_Natron_Set4/30174_HaloDefaultProject_HaloStandard-New Location 8-S_30174_0013.txt
784	 9.10129621624947E-02 
785	 9.21912342309952E-02 
786	 9.34063419699669E-02 
787	 9.46262180805206E-02 
788	 9.58344042301178E-02 
789	 9.71395447850227E-02 
790	 9.84154120087624E-02 
791	 9.97299998998642E-02 
792	 0.101126290857792 
793	 0.102516360580921 
794	 0.103945076465607 
795	 0.105389706790447 
796	 0.106874071061611 
797	 0.108415067195892 
798	 0.109969355165958 
799	 0.111598864197731 
800	 0.113240882754326 
801	 0.114902317523956 
802	 0.11663281172514 
803	 0.118395678699017 
804	 0.120163142681122 
805	 0.121993727982044 
806	 0.123839907348156 
807	 0.125720635056496 
808	 0.127664372324944 
809	 0.129625216126442 
810	 0.131609961390495 
811	 0.133654728531837 
812	 0.135715141892433 
813	 0.137846633791924 
814	 0.140022560954094 
815	 0.142245382070541 
816	 0.144521951675415 
817	 0.146805822849274 
818	 0.149167150259018 
819	 0.151604503393173 
820	 0.154008865356445 
821	 0.156441986560822 
822	 0.158946469426155 
823	 0.161443904042244 
824	 0.163992032408714 
825	 0.166607618331909 
826	 0.16929517686367 
827	 0.17199681699276 
828	 0.174737498164177 
829	 0.177497178316116 
830	 0.180278524756432 
831	 0.18313030898571 
832	 0.186071589589119 
833	 0.189050555229187 
834	 0.192028313875198 
835	 0.195009246468544 
836	 0.198050633072853 
837	 0.201153665781021 
838	 0.204273387789726 
839	 0.207403644919395 
840	 0.210568264126778 
841	 0.213784515857697 
842	 0.217080056667328 
843	 0.220426261425018 
844	 0.223783105611801 
845	 0.227181449532509 
846	 0.230546563863754 
847	 0.233975604176521 
848	 0.23741327226162 
849	 0.240842238068581 
850	 0.244330987334251 
851	 0.247854471206665 
852	 0.251386761665344 
853	 0.254950731992722 
854	 0.25851833820343 
855	 0.262100070714951 
856	 0.26573184132576 
857	 0.269425868988037 
858	 0.273096859455109 
859	 0.276724487543106 
860	 0.280408799648285 
861	 0.284124791622162 
862	 0.287852883338928 
863	 0.291573792695999 
864	 0.295331597328186 
865	 0.29906365275383 
866	 0.302812188863754 
867	 0.306551396846771 
868	 0.310314565896988 
869	 0.314109951257706 
870	 0.317894846200943 
871	 0.321677565574646 
872	 0.325520545244217 
873	 0.32932636141777 
874	 0.333117574453354 
875	 0.336913734674454 
876	 0.340683907270432 
877	 0.344448506832123 
878	 0.348204404115677 
879	 0.351966053247452 
880	 0.35571151971817 
881	 0.359441995620728 
882	 0.363148123025894 
883	 0.366895258426666 
884	 0.370645195245743 
